Person_Age,Person_Income,Loan_Amount,Credit_Score,Years_at_Job,Existing_Loans,Education_Level,Home_Ownership,Default_Next_Month,Application_Source,Application_ID
87,50783.0,28111,513,0,1,Bachelor,Own,0,Web_Portal,APP-7252
53,,21878,363,14,3,PhD,Rent,1,Web_Portal,APP-5684
45,28998.0,5599,758,10,3,Master,Own,0,Web_Portal,APP-2731
18,39874.0,12975,628,20,3,Bachelor,Mortgage,0,Web_Portal,APP-5742
54,34323.0,49229,807,18,0,High School,Own,0,Web_Portal,APP-5521
66,,34546,786,1,0,Bachelor,Mortgage,0,Web_Portal,APP-7340
73,78541.0,24039,587,24,4,Bachelor,Own,0,Web_Portal,APP-1576
30,179523.0,38997,457,32,3,PhD,Own,0,Web_Portal,APP-6202
55,,22637,448,15,0,High School,Rent,0,Web_Portal,APP-7363
79,170811.0,2797,419,22,4,Master,Own,1,Web_Portal,APP-1439
51,36772.0,35819,416,20,3,Master,Own,1,Web_Portal,APP-3750
73,116590.0,49979,613,18,1,Bachelor,Rent,0,Web_Portal,APP-8487
88,131115.0,7177,787,2,3,Bachelor,Mortgage,0,Web_Portal,APP-6272
20,73452.0,22310,805,1,0,Master,Own,0,Web_Portal,APP-6653
25,131872.0,38575,387,14,3,Bachelor,Mortgage,0,Web_Portal,APP-4999
82,169911.0,5490,471,21,2,Bachelor,Rent,0,Web_Portal,APP-7033
66,181860.0,33174,728,5,0,Bachelor,Mortgage,1,Web_Portal,APP-1582
89,119747.0,13016,712,20,4,PhD,Mortgage,1,Web_Portal,APP-10930
56,57242.0,42519,462,1,4,High School,Rent,1,Web_Portal,APP-8051
30,166477.0,36462,657,27,0,Master,Own,0,Web_Portal,APP-9158
71,124000.0,12621,569,10,4,Master,Mortgage,0,Web_Portal,APP-10896
81,,11966,491,37,2,Bachelor,Rent,1,Web_Portal,APP-3249
74,44119.0,30519,542,33,3,Master,Rent,1,Web_Portal,APP-5640
76,58872.0,46101,358,14,1,Bachelor,Mortgage,1,Web_Portal,APP-10485
26,44343.0,24987,801,15,2,Master,Rent,0,Web_Portal,APP-5947
34,51489.0,15992,546,22,2,Bachelor,Own,0,Web_Portal,APP-10920
48,145701.0,28539,830,10,0,High School,Mortgage,0,Web_Portal,APP-2963
18,69738.0,46129,405,23,1,PhD,Own,0,Web_Portal,APP-9243
61,72142.0,8046,428,4,1,Bachelor,Rent,0,Web_Portal,APP-7590
42,136814.0,32628,629,26,4,PhD,Rent,0,Web_Portal,APP-9847
