SqFt,Bedrooms,Bathrooms,Age,Neighborhood,Garage,Price
4762,3,2,62,Suburban,0,767072.6374457576
2955,4,3,49,Urban,1,534997.4270735572
2809,4,2,51,Rural,0,493493.83699621697
4076,3,3,99,Urban,1,683372.606379366
1928,5,3,19,Suburban,1,380398.68379666744
599,3,2,66,Urban,1,155634.47376398757
1587,5,1,27,Rural,1,336910.62243269826
1842,4,2,11,Rural,1,356884.4857067224
4561,1,2,91,Urban,1,702172.6282158989
2578,5,1,35,Suburban,0,485862.9415501087
3140,2,3,43,Urban,0,497834.30257239874
1746,5,3,91,Suburban,1,363602.22803286236
4896,5,1,57,Urban,0,833189.5416096745
2257,2,1,52,Urban,1,383338.97704357543
1443,5,2,36,Rural,1,320248.07991762005
2257,2,2,89,Urban,1,382477.9814744355
539,5,2,89,Suburban,0,173632.47016857105
1664,3,2,8,Suburban,1,319471.1413069683
3458,3,1,76,Urban,0,589222.1416417933
3053,5,2,45,Urban,1,552838.896572881
1804,5,1,23,Suburban,1,358137.4046308364
986,3,2,68,Suburban,0,207582.2334426368
2024,5,1,4,Suburban,0,404487.2504273069
891,2,1,61,Suburban,1,174278.48364691949
4019,4,1,29,Urban,1,698752.8811588066
996,1,2,45,Rural,1,158688.45660652805
2856,1,3,63,Suburban,1,470994.3925033206
3137,4,3,88,Suburban,0,547692.1667272487
4226,2,3,32,Rural,1,671961.6491930498
3908,3,2,8,Suburban,0,639844.6409684777
2815,4,2,5,Rural,1,508404.1159770995
3338,2,1,10,Urban,1,539548.6799973767
1263,1,2,54,Urban,0,208493.45777399646
4004,2,1,48,Urban,0,628698.0505912186
3020,3,3,1,Rural,1,512880.4208873193
3605,3,3,53,Suburban,1,612128.5672381909
4268,5,1,74,Suburban,0,734686.0450259257
1912,4,1,47,Urban,1,357353.74708629894
2838,4,2,11,Urban,1,521022.67762228806
4851,1,3,91,Suburban,1,743496.5181979412
3399,2,1,23,Suburban,0,536050.6731668853
2099,4,3,47,Urban,1,397379.1365909766
1227,1,3,99,Urban,0,207666.73165461447
573,4,3,68,Suburban,1,166023.54279960046
2761,1,3,57,Rural,1,448720.3922013866
2200,4,2,48,Rural,1,417598.75076758227
3187,5,3,52,Rural,1,573044.5290334916
4284,3,2,79,Urban,0,709785.4271594257
3019,3,1,10,Urban,1,509175.8744269781
4445,3,3,36,Suburban,0,716822.9509426322
3787,2,1,87,Rural,1,633525.1290327138
4877,3,3,81,Urban,0,801331.9243411134
3380,1,3,95,Urban,0,547777.3638176306
539,4,2,2,Urban,1,143976.1404255203
1020,5,3,1,Suburban,1,253087.72075930974
4700,5,3,94,Suburban,0,815897.5403076278
3727,4,2,33,Urban,1,640424.500472644
900,1,3,37,Rural,1,141403.05622432838
559,3,1,2,Urban,1,141116.55524563685
1367,2,3,16,Urban,1,260449.33094944275
4463,3,1,98,Rural,0,738517.6785446348
3730,5,2,62,Urban,1,651066.2252878491
4105,2,3,68,Urban,0,657379.3069702858
589,2,3,33,Urban,0,141887.157075734
1576,5,1,7,Urban,1,324256.5382927664
3667,2,3,82,Rural,0,612924.9828056757
2256,3,2,44,Urban,0,398908.2884816971
668,4,2,51,Urban,1,175890.35124882025
2873,5,2,51,Urban,0,532511.8856375861
1505,1,3,19,Urban,0,231894.45725516888
3546,3,2,2,Rural,1,578960.8198850132
4719,2,2,98,Urban,1,746542.8573569721
4439,3,3,83,Suburban,1,727467.7230423037
4022,2,2,17,Suburban,0,638233.9642449393
1264,4,1,50,Suburban,1,274025.1100644152
1942,5,3,38,Urban,1,398673.7459135706
2231,3,1,19,Rural,1,414820.765309667
2582,4,3,11,Suburban,1,468849.95358877326
3325,2,3,90,Urban,1,535524.9302564468
1797,3,3,14,Suburban,1,332994.63496274897
517,2,1,5,Suburban,1,132359.90078351818
880,3,2,22,Urban,0,190302.8518719192
2628,3,1,16,Urban,0,456957.22154626285
2033,5,1,33,Suburban,0,413949.71475893335
4915,3,3,81,Suburban,1,786394.4525112276
2980,2,1,74,Suburban,1,490832.1929673029
3858,5,1,35,Urban,1,674813.5948494951
1896,2,3,97,Suburban,0,329779.25282681093
4383,2,2,83,Suburban,1,697386.1556815768
1510,4,1,14,Urban,0,312104.05814766017
749,4,3,17,Suburban,0,176061.9886110097
3383,2,3,99,Rural,1,548296.1136086858
1345,1,1,94,Urban,0,218189.0934646235
2139,1,2,53,Urban,0,319799.5785948115
2039,4,1,17,Urban,1,374798.55865267664
2383,4,1,78,Rural,0,458518.4988054464
3920,5,2,30,Suburban,0,677549.7839536614
1728,2,1,26,Urban,1,300389.5054878767
1905,3,1,12,Rural,0,347149.21894571156
4690,2,2,45,Rural,0,753722.608714685
2612,1,3,65,Rural,0,418565.8792946623
4819,5,2,72,Rural,0,835847.6837199477
2528,3,1,22,Suburban,0,429434.00036057405
1255,4,1,18,Rural,1,258030.84538489694
2070,4,1,31,Urban,0,377673.0743420533
4758,3,3,84,Rural,1,771206.3644792062
1179,5,2,34,Rural,1,262109.36079021494
2089,2,2,84,Urban,0,349674.7011489057
1104,5,2,63,Urban,1,294100.39585657924
1549,4,3,9,Urban,1,308739.5195063286
4683,1,2,12,Rural,0,740676.467776595
1245,3,2,19,Rural,0,268498.52189109084
3973,5,3,56,Suburban,1,691581.3255155643
518,3,3,14,Suburban,1,144901.43166631463
1499,4,2,15,Rural,1,303256.54187108245
666,2,1,29,Urban,1,143252.93199651895
3950,4,1,13,Suburban,0,674246.4719415383
3326,4,1,44,Suburban,0,588384.8221304525
4868,2,2,79,Suburban,0,785143.3013006636
2599,1,2,70,Suburban,0,407612.92537942005
1768,5,1,20,Urban,1,366906.27848701185
1547,2,2,55,Suburban,1,292562.1716468562
1511,2,1,52,Rural,0,250907.12628174806
768,3,2,23,Rural,0,184914.45369923807
2172,2,2,40,Suburban,1,380592.9511808192
4402,5,3,15,Suburban,1,759036.9243391185
3446,4,3,73,Suburban,1,608588.8955941135
3072,1,1,7,Urban,0,468483.6578811274
2657,2,3,74,Urban,1,422051.1442735836
2797,1,3,5,Rural,1,432184.5827916961
4803,2,3,23,Urban,1,747048.4787556254
2151,1,3,56,Urban,0,343759.42238642153
1439,4,3,65,Rural,0,263619.6571276987
914,2,3,24,Suburban,1,191629.15000537934
3146,2,3,21,Suburban,1,526865.4849207728
2638,1,3,95,Suburban,0,425393.20533443737
2333,1,2,38,Urban,1,361783.9397816486
3991,2,3,22,Rural,1,633959.782983987
519,1,1,23,Urban,0,80276.70386249006
4911,3,1,7,Urban,0,802971.3782606137
2444,2,2,81,Urban,0,409537.8538703882
2901,4,2,90,Urban,1,505283.3481360709
1901,2,2,69,Suburban,1,316649.4572679391
4176,3,2,7,Rural,1,680275.3572412028
4767,3,3,75,Suburban,0,768115.2068161265
3285,4,3,0,Rural,1,579294.0061492687
541,3,1,46,Rural,0,159961.77135790666
3504,4,3,90,Urban,0,609566.650771227
4790,3,2,4,Urban,0,775193.1535360311
1355,2,3,87,Rural,1,232117.3988762775
3318,1,2,31,Urban,1,509592.94196539844
903,2,3,62,Suburban,0,172601.82568542036
681,5,2,60,Suburban,0,200495.09063011387
2512,2,1,14,Suburban,0,403675.1899429997
717,2,1,55,Suburban,0,157416.87614173387
2014,3,1,2,Suburban,1,366304.8209506069
4936,2,3,82,Suburban,0,773740.7392234745
4200,3,3,17,Urban,0,685048.1907583763
4325,2,2,13,Rural,1,673928.2958902159
4153,3,1,10,Urban,1,689604.4710567611
3716,5,1,70,Rural,0,638713.0924914461
4449,3,3,38,Suburban,0,730729.7408928724
870,1,3,50,Urban,0,146221.5695626674
984,1,3,41,Urban,0,159954.7976337192
4659,2,2,25,Urban,0,740225.2567510529
4856,4,3,46,Rural,1,810411.7258805595
1088,3,1,50,Suburban,1,239022.15374680868
1322,3,1,12,Suburban,0,274354.07875941537
4257,2,2,39,Rural,0,667464.4886206732
1286,5,3,65,Rural,1,300577.4292114595
1746,3,1,29,Urban,0,316848.97480853583
2208,3,3,45,Suburban,1,398574.9440746082
4948,5,1,4,Urban,0,854674.4443841425
2215,5,1,31,Rural,1,416068.39996194025
584,4,1,17,Urban,0,174086.419773382
2623,1,1,11,Suburban,1,402985.1411407315
3032,5,2,78,Suburban,0,556844.8857324374
1673,5,1,96,Suburban,1,349687.6338109269
2480,3,1,1,Suburban,0,428647.59489123226
3794,5,2,56,Suburban,1,684327.6678404494
4093,3,1,62,Rural,1,685049.3818920988
4598,5,2,89,Rural,0,787576.0934914493
2505,1,2,15,Suburban,0,386049.45155398553
1356,3,3,89,Rural,0,245867.05131124923
4440,1,3,92,Urban,1,693817.9708262243
2437,3,3,65,Rural,1,429575.77936824475
595,5,2,60,Urban,0,190641.05184133133
765,1,2,94,Suburban,0,144778.81144741486
525,4,2,41,Suburban,0,158835.72285326908
1106,1,2,54,Urban,1,197543.44617008575
2874,2,1,99,Urban,0,470040.5542161133
2873,2,1,52,Urban,0,467024.91517364496
2747,5,3,73,Suburban,1,522810.65423346026
1201,2,3,5,Suburban,0,226076.61402634523
1801,3,1,0,Suburban,0,325998.845567559
2729,3,3,88,Suburban,1,480581.5274312487
3620,3,1,56,Suburban,1,603873.7008255752
3604,5,1,80,Urban,1,642065.5324311871
1055,2,1,22,Suburban,0,203869.30108428394
745,2,3,80,Urban,0,151156.39274952296
3689,3,3,59,Urban,0,603069.947404274
4446,5,3,84,Suburban,0,775067.6337259626
3503,3,1,36,Rural,1,589517.2769939714
902,5,2,38,Suburban,0,236914.02384971868
895,4,3,14,Suburban,0,195717.49638475152
1099,1,2,4,Suburban,1,187626.50182621344
2824,5,2,4,Urban,0,520732.7484692283
4678,1,3,72,Urban,1,712522.3246564934
533,2,1,92,Urban,1,132335.5048286946
4006,5,1,28,Rural,1,691444.6508789829
2319,5,2,11,Rural,0,451746.70410858904
2015,4,1,32,Rural,1,406729.5875636846
4816,1,1,96,Rural,1,746041.0212381152
3160,1,3,36,Urban,0,500192.38060281886
3565,3,2,43,Urban,1,593866.0089151928
1488,1,2,4,Urban,0,236287.50218582852
930,4,1,19,Urban,1,233078.54142001492
1402,4,1,52,Urban,0,281970.8583416637
3175,3,3,79,Urban,1,526818.11535139
1441,1,1,74,Suburban,1,255095.89848394334
2439,1,3,33,Rural,1,389497.64635031065
4851,4,3,6,Rural,1,799621.5203549536
3524,2,2,21,Suburban,0,558868.1339443972
4595,3,3,80,Suburban,0,758174.4830737214
2727,5,3,4,Urban,1,520163.3105326426
3436,1,3,55,Urban,0,536270.3881600924
1459,3,2,50,Urban,0,281281.2831485046
4395,5,1,59,Rural,1,765424.0231967005
3998,5,1,85,Suburban,1,713743.8915415431
2486,4,1,90,Urban,1,442321.352079879
1648,4,3,24,Urban,0,330234.9056437748
1844,3,1,80,Rural,1,328922.51541179186
2699,3,1,12,Rural,1,468686.93909322453
3782,4,1,42,Suburban,1,634936.5410553094
